,spring-petclinic-config-server.org.springframework.samples.petclinic.config.ConfigServerApplication,spring-petclinic-discovery-server.org.springframework.samples.petclinic.discovery.DiscoveryServerApplication,spring-petclinic-admin-server.org.springframework.samples.petclinic.admin.SpringBootAdminApplication,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.Specialty,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.Vet,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.VetRepository,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.CacheConfig,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.VetsProperties$Cache,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.VetsProperties,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.web.VetResource,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.VetsServiceApplication,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.application.CustomersServiceClient,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.application.VisitsServiceClient,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.OwnerDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.PetDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.PetType,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.VisitDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.Visits,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.ApiGatewayApplication,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.Owner,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.OwnerRepository,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.Pet,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.PetRepository,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.PetType,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.OwnerResource,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetDetails,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetRequest,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetResource,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.ResourceNotFoundException,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.CustomersServiceApplication,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.model.Visit,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.model.VisitRepository,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.web.VisitResource$Visits,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.web.VisitResource,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.VisitsServiceApplication
24,1,1,4,4,4,11,11,11,11,11,6,6,6,8,8,8,6,6,11,7,7,11,11,11,4,12,2,2,2,8,8,8,4,6,6,3
25,8,7,1,1,11,4,11,2,2,2,8,8,4,5,6,6,5,8,7,1,10,10,10,8,8,8,8,6,6,6,6,8,2,2,2,8
26,8,8,4,4,6,5,5,5,5,7,4,4,1,2,2,8,8,8,10,10,5,5,8,5,2,2,4,4,8,4,4,1,1,1,1,7
27,11,10,4,4,4,4,3,3,6,6,5,7,2,8,8,4,4,3,3,1,11,5,8,8,4,10,11,3,3,11,11,9,9,11,11,11
28,11,7,11,10,10,8,8,2,2,2,8,8,9,5,5,5,7,7,7,11,11,11,11,11,11,11,11,6,6,6,9,8,3,3,3,7
29,7,7,7,7,11,12,12,12,12,12,12,12,12,12,6,6,6,8,9,4,10,2,2,2,8,8,8,4,5,5,5,7,5,5,10,4
30,10,2,2,8,8,8,6,6,6,1,1,5,7,4,4,4,4,3,3,3,5,5,9,9,10,2,2,2,8,8,8,4,5,5,5,5
31,5,2,2,2,8,4,4,4,2,3,3,3,5,5,5,3,5,1,11,7,11,11,11,11,11,11,9,11,11,12,6,12,12,12,12,12
32,12,12,12,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,11,11,11,11,11,11,12,12,12,7,7,7,7,7,12,4,4,2
33,2,8,8,8,2,2,3,3,3,3,5,7,7,1,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
34,12,7,5,12,12,9,6,2,2,8,8,2,2,2,4,2,2,8,8,2,2,4,2,2,2,2,2,4,2,2,2,8,8,2,2,8
35,8,8,2,10,5,2,2,2,2,2,4,2,2,8,8,2,6,10,4,10,2,2,8,8,4,2,2,8,8,8,2,2,2,2,2,2
36,2,8,2,2,4,8,8,2,2,8,8,10,3,3,3,3,5,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,4,12
37,1,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1,1,12,12,11,11,11,11,11,11,11,11,12,12
38,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
39,11,11,11,11,11,11,11,11,12,12,12,12,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11
40,7,7,12,12,12,12,12,12,1,1,1,11,11,11,11,11,11,11,11,11,11,12,6,6,12,12,1,1,1,1,1,1,1,1,11,12
41,12,12,12,12,12,12,12,12,12,12,12,11,11,12,12,12,12,12,12,12,1,12,12,11,11,11,11,11,11,11,9,11,11,11,11,7
42,12,1,7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,1,1,1,1,1,12,12,12,12
43,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,9,1,1,1,1,1,1,12,12,12,11,11,12,11,11,11
44,11,11,11,11,11,11,11,11,11,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,12,12,11,11,11,1,11,11,11,11
45,1,1,1,11,11,11,12,8,2,2,8,4,6,5,5,7,1,10,10,4,4,2,3,1,5,6,8,8,10,10,4,12,2,2,5,9
46,5,5,3,3,3,12,10,8,1,2,1,8,9,11,2,8,8,6,6,8,8,1,2,9,9,10,2,9,9,2,1,9,4,2,7,8
47,6,9,9,11,2,2,9,4,1,1,2,8,8,4,10,1,7,8,12,10,4,4,12,2,3,3,10,10,9,8,2,3,1,1,8,8
48,4,2,9,3,3,12,8,10,10,8,8,3,3,12,5,2,9,4,10,3,3,3,7,5,11,8,4,3,3,3,1,10,10,8,4,3
49,3,3,5,5,4,10,10,3,3,3,6,9,5,5,8,3,3,3,7,7,2,9,9,6,3,3,2,8,9,1,1,8,2,2,4,1
50,4,8,9,2,4,9,2,7,8,1,10,4,8,2,8,6,10,5,8,8,12,7,4,12,2,7,5,6,10,10,3,3,3,6,5,8
51,8,1,2,7,11,2,4,8,2,6,3,2,12,8,4,4,4,3,3,1,1,10,10,8,4,3,6,6,5,7,8,10,10,4,3,2
52,1,1,2,8,4,2,3,7,5,5,8,4,10,4,8,5,5,9,11,2,8,8,2,9,1,2,8,8,10,4,8,2,12,9,9,10
53,9,9,2,6,4,5,4,8,1,2,9,1,2,8,9,1,9,8,12,2,8,4,10,12,8,2,10,4,6,2,8,5,5,9,8,1
54,2,8,4,2,11,8,2,9,9,2,7,7,2,10,4,10,2,8,3,1,1,8,9,10,4,4,3,5,8,5,10,7,2,2,4,6
55,6,8,2,5,4,4,11,8,8,11,10,9,8,2,6,9,5,2,9,10,2,7,3,2,4,4,1,8,3,2,11,9,2,8,9,6
56,3,7,8,8,10,4,3,3,2,9,10,10,8,8,3,4,9,1,7,8,10,4,4,3,2,8,5,10,11,8,8,4,4,6,5,8
57,8,10,4,4,2,2,12,2,9,9,2,8,12,2,9,8,2,1,8,3,11,9,4,9,9,6,2,7,2,10,4,4,2,12,12,2
58,4,4,2,5,8,5,5,9,9,2,8,8,2,6,6,2,8,8,2,3,8,1,1,8,9,10,4,3,3,8,9,10,1,7,8,4
59,4,4,1,8,8,10,4,10,2,8,4,10,9,5,2,8,5,10,7,8,2,1,4,2,8,9,2,6,9,2,8,9,2,11,8,2
60,12,12,2,4,8,2,4,2,3,3,5,9,4,2,8,4,2,8,1,6,9,1,2,9,2,2,8,5,5,8,5,2,9,2,2,9
61,2,2,9,6,2,9,2,10,8,10,2,9,3,2,9,2,2,9,2,8,9,2,9,8,1,12,8,4,2,9,2,5,9,2,3,3
62,2,7,7,2,7,11,2,7,6,2,8,10,2,8,12,2,9,9,2,9,2,2,4,2,8,6,6,10,8,8,2,4,11,2,8,12
63,2,9,3,2,8,10,2,8,12,2,9,12,2,9,2,2,9,6,2,9,5,2,9,2,2,8,1,2,9,11,2,9,2,2,9,3
64,2,9,5,2,8,8,2,4,2,8,12,2,11,11,11,9,9,10,9,2,3,4,2,8,5,2,8,1,2,8,1,2,9,9,2,9
65,9,2,9,3,2,8,10,2,9,7,2,9,9,2,9,8,2,9,6,2,8,7,2,4,2,2,4,12,2,9,12,2,8,9,2,4
66,8,2,7,6,2,9,9,2,9,4,2,8,9,2,9,9,2,8,8,2,11,8,12,2,8,12,2,12,12,2,9,9,2,9,8,2
67,7,1,2,8,11,2,9,11,2,9,10,2,9,5,2,8,7,2,7,7,2,7,7,2,12,12,2,8,9,2,9,9,2,8,9,2
68,7,7,7,7,7,1,2,9,2,2,9,6,2,8,3,2,7,7,2,7,7,2,12,8,6,2,9,2,2,9,6,2,8,4,2,8
69,7,2,7,7,2,11,8,12,2,9,3,2,8,1,2,9,7,2,4,2,2,8,6,2,8,8,2,11,7,9,7,9,2,4,8,2
70,4,5,8,8,5,2,7,11,2,8,9,2,9,12,2,8,9,2,9,8,2,7,9,2,9,8,2,7,6,2,8,8,6,6,8,8
71,2,6,6,2,8,9,2,9,3,2,8,9,2,4,8,8,4,2,9,9,8,9,9,2,9,2,2,4,2,8,8,2,9,7,2,7
72,12,2,12,12,2,8,4,2,9,7,2,9,4,2,8,8,6,6,8,8,1,10,10,2,8,3,2,5,5,2,8,9,2,3,3,2
73,8,2,2,4,6,2,8,2,10,4,9,7,8,2,4,4,5,9,3,2,9,10,10,8,2,8,1,2,9,2,9,11,3,2,9,6
74,4,8,2,9,2,2,9,2,8,9,2,9,4,2,8,2,5,9,2,8,2,8,4,2,6,8,2,9,2,6,4,2,7,2,9,2
75,9,8,2,8,2,9,10,10,8,2,9,2,1,1,2,9,2,3,2,8,2,9,10,5,8,2,3,2,9,2,8,8,2,4,6,2
76,8,2,8,9,2,9,2,8,8,2,9,2,2,8,2,9,9,2,9,2,9,8,2,9,10,2,9,2,12,12,2,9,2,2,9,2
77,3,3,2,9,2,4,8,2,3,6,10,9,2,9,3,2,8,2,10,9,2,8,2,4,4,2,9,2,9,2,10,4,2,8,12,2
78,9,2,2,8,2,7,10,10,8,2,8,2,9,2,5,8,2,8,4,2,8,2,9,2,9,10,3,2,8,2,4,5,5,8,2,9
79,4,10,8,2,8,8,2,9,2,3,2,8,2,9,5,12,8,2,8,2,4,6,2,9,2,9,9,2,9,2,4,3,2,8,2,4
80,4,2,8,2,1,1,2,8,2,8,2,2,9,2,9,5,11,7,2,4,2,4,6,5,8,2,4,4,2,9,2,9,1,2,9,2
81,9,2,2,7,2,9,2,10,9,2,8,2,1,5,8,2,8,2,4,6,2,8,2,9,4,2,9,2,8,1,2,8,2,2,3,2
82,8,2,9,4,2,8,2,3,9,10,9,2,8,3,3,8,2,9,10,4,3,2,8,2,4,4,2,7,3,2,9,2,4,9,2,8
83,1,2,9,2,8,8,2,4,6,2,8,2,11,4,2,8,2,8,2,6,6,2,8,2,3,4,4,4,9,5,3,2,3,2,8,10
84,10,8,2,8,2,4,8,2,9,2,10,8,2,8,2,4,9,2,8,8,2,9,2,3,8,2,9,2,4,3,2,8,10,10,9,2
85,3,3,2,8,2,5,9,2,7,7,2,9,2,2,9,6,3,8,2,4,4,2,3,8,5,9,2,9,2,3,3,2,9,2,9,8
86,2,9,6,2,9,2,8,9,2,4,4,2,8,2,10,9,2,8,2,2,4,6,3,8,2,4,4,3,3,8,8,10,2,8,12,2
87,8,9,2,8,8,2,2,4,2,2,8,4,5,3,3,3,3,7,1,11,11,11,11,11,11,12,12,10,10,8,1,2,4,8,5,5
88,10,2,8,8,3,6,11,11,11,11,11,11,11,12,12,12,6,12,12,12,12,4,2,2,8,2,2,4,8,2,8,9,10,2,8,7
89,4,6,8,8,2,9,9,10,3,8,3,5,5,5,2,2,4,4,2,9,5,5,5,3,11,4,10,2,8,2,6,9,3,5,8,10
90,8,8,8,2,4,6,5,8,9,10,2,8,8,4,5,8,5,2,8,4,10,8,8,5,5,9,2,2,8,4,2,8,3,3,6,6
91,8,8,2,4,4,2,2,8,5,5,3,3,7,7,11,11,11,11,11,12,12,12,12,12,12,12,7,12,1,12,11,2,8,8,2,8
92,8,2,7,8,2,2,8,2,2,8,2,2,8,2,2,8,4,2,8,7,2,4,8,2,8,4,2,2,8,2,2,9,2,2,8,2
93,2,8,2,2,6,4,10,8,8,4,4,8,9,8,4,4,2,8,8,6,6,7,7,7,11,11,11,12,12,12,12,12,12,12,7,10
94,10,7,2,4,4,9,2,3,3,3,1,1,1,11,11,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,4,2,8,8,10,6
95,8,2,3,4,2,2,8,2,7,3,3,8,1,1,7,11,12,12,12,12,12,12,12,12,12,12,7,1,1,7,1,1,8,6,4,8
96,2,8,9,6,11,3,1,1,9,2,8,8,2,4,8,2,8,9,2,8,8,2,11,8,2,8,8,2,3,9,2,9,9,2,8,8
97,2,3,8,2,8,8,2,4,8,2,8,8,2,8,7,1,7,11,11,11,11,6,4,12,3,12,4,2,8,8,2,4,8,2,8,4
98,2,8,8,2,4,2,2,8,2,4,8,2,5,9,10,4,8,2,4,9,2,8,5,2,4,3,2,8,10,8,8,2,3,3,3,5
99,7,1,1,12,12,12,12,12,12,12,12,12,12,2,8,8,2,4,8,2,9,9,8,7,7,1,1,1,11,12,12,12,12,11,12,12
100,16,16,16,16,16,16,16,16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
101,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
102,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16,16,16,16,16,16,16,16,16,16,16,16,16
103,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3
104,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,14,14
105,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,14,14,14,14
106,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,14,14,14,14,14,13,13,14,14,14,14,14,14
107,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
108,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,13,13,13,13,13,13,13,13,13
109,13,13,13,13,13,13,13,13,13,4,13,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13
110,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7
111,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13
112,13,13,13,13,13,13,14,14,14,14,14,14,5,5,14,14,14,14,14,14,14,13,13,13,13,13,13,5,5,5,5,5,5,5,5,5
113,5,5,5,5,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
114,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,5,5
115,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,13,4,13,13
116,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
117,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,14,14,14,14,14,14,14,14,5,5,5,5,5,5,5
118,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,13,13,13,13,13,13
119,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,5,5
120,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5
121,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
122,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
123,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3
124,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3
126,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
127,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
128,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
129,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3
130,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
131,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
132,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,3,3,3,3,3,3,3,3,3,3,3,7,7,7
133,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
134,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
135,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
136,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
137,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
138,7,7,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
139,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
140,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7
141,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,7,7
142,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
143,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
144,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
145,7,7,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9
146,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7
147,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
148,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
149,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
